"","...1","followup_fallstudyhours","followup_getwritinghelp","followup_metwithinstructor","followup_metwithfreetutor","followup_imptodowellatuoft","followup_depressed","followup_stressed","fathers_education","mothers_education","fall_meangrade_year1","exp_gradschl","agreeableness2","agreeableness","extraversion2","extraversion","study_habit"
"118",309,24,5,8,0,7,1,1,6,7,91,0,-2.44491028785706,0,-0.354264974594116,0,13
"119",312,5,2,1,0,7,2,1,6,6,70,0,-1.09597039222717,0,0.284882336854935,1,3
"120",313,14,6,1,1,7,3,3,6,6,83,1,-1.09597039222717,0,-0.0346913151443005,0,8
"121",316,10,4,0,2,4,3,3,1,1,78,0,1.21649813652039,1,0.444669157266617,1,6
"122",317,8,5,0,2,5,1,1,7,4,63,0,1.40920376777649,1,-0.194478139281273,0,7
"123",318,16,5,2,2,7,3,3,7,6,77.5,1,0.831086695194244,1,0.604456007480621,1,9
"124",320,1,3,1,0,6,1,2,2,1,66.8000030517578,1,0.638380944728851,1,1.08381640911102,1,4
"125",322,1,2,0,0,7,3,3,6,2,60,1,1.02379238605499,1,-0.354264974594116,0,2
"126",324,8,2,0,0,6,0,3,1,2,83.3333358764648,1,-3.21573328971863,0,1.2436032295227,1,2
"127",325,2,5,0,0,6,2,1,7,5,66.5,1,0.638380944728851,1,0.284882336854935,1,5
"128",327,8,5,1,1,7,3,2,5,5,50.5,1,-0.517853319644928,0,0.444669157266617,1,7
"129",328,14,4,1,1,7,1,2,6,6,67,1,-1.28867614269257,0,1.56317687034607,1,6
"130",330,10,5,1,8,7,1,2,7,6,74,1,-1.67408752441406,0,1.72296380996704,1,14
"131",332,15,4,1,0,5,1,2,6,5,68,1,-0.903264701366425,0,-0.194478139281273,0,5
"132",333,7,5,2,0,6,1,1,6,6,77,1,1.60190951824188,1,0.764242827892303,1,7
"133",336,14,4,0,2,7,1,2,8,8,84,1,-0.517853319644928,0,2.2023241519928,1,6
"134",343,15,1,0,2,7,0,1,1,1,77.3333358764648,1,-1.28867614269257,0,-0.354264974594116,0,3
"135",344,15,6,1,2,6,1,3,7,7,57.5,1,-0.903264701366425,0,0.125095501542091,1,9
"136",348,20,5,0,0,6,2,2,6,4,81.3333358764648,0,-2.25220465660095,0,0.284882336854935,1,5
"137",349,3,3,0,2,6,2,2,8,6,63.7999992370605,1,-1.48138189315796,0,2.2023241519928,1,5
"138",350,1,2,0,1,6,0,0,6,0,60,0,-2.25220465660095,0,0.604456007480621,1,3
"139",353,12,3,2,1,7,1,1,2,7,85.75,1,0.638380944728851,1,1.88275063037872,1,6
"140",360,41,5,2,2,7,2,2,7,6,57,1,-1.28867614269257,0,0.444669157266617,1,9
"141",361,42,6,2,8,7,2,1,6,5,68.6666641235352,1,-2.63761615753174,0,-0.194478139281273,0,16
"142",363,1,2,0,0,7,2,2,6,7,60,1,-0.710559010505676,0,0.125095501542091,1,2
"143",365,16,2,0,2,5,1,3,5,5,74.5,0,-0.903264701366425,0,1.72296380996704,1,4
"144",366,7,4,1,1,7,3,3,7,6,74,1,1.02379238605499,1,-0.354264974594116,0,6
"145",368,7,4,2,1,7,1,2,7,0,88,1,-0.903264701366425,0,-0.194478139281273,0,7
"146",369,3,3,2,5,3,2,3,3,5,72,1,-0.517853319644928,0,0.125095501542091,1,10
"147",370,13,5,0,1,5,3,2,1,2,64,1,-0.710559010505676,0,-0.0346913151443005,0,6
"148",373,5,3,5,0,6,0,2,6,6,86.5999984741211,0,-1.48138189315796,0,-0.0346913151443005,0,8
